x,y,z,px,py,pz,pw,u
-0.47100,-0.13043,0.07904,0.42649,-0.42649,-0.56401,-0.56401,11.29600
-0.47100,-0.13066,0.07907,0.42656,-0.42656,-0.56396,-0.56396,11.39600
-0.47100,-0.13090,0.07910,0.42663,-0.42663,-0.56390,-0.56390,11.49600
-0.47100,-0.13114,0.07912,0.42671,-0.42671,-0.56385,-0.56385,11.59600
-0.47100,-0.13138,0.07915,0.42678,-0.42678,-0.56379,-0.56379,11.69600
-0.47100,-0.13162,0.07918,0.42685,-0.42685,-0.56373,-0.56373,11.79600
-0.47100,-0.13185,0.07921,0.42693,-0.42693,-0.56368,-0.56368,11.89600
-0.47100,-0.13208,0.07923,0.42700,-0.42700,-0.56362,-0.56362,11.99600
-0.47100,-0.13229,0.07926,0.42707,-0.42707,-0.56357,-0.56357,12.09600
-0.47100,-0.13250,0.07929,0.42715,-0.42715,-0.56351,-0.56351,12.19600
-0.47100,-0.13270,0.07931,0.42722,-0.42722,-0.56346,-0.56346,12.29600
-0.47100,-0.13289,0.07934,0.42729,-0.42729,-0.56340,-0.56340,12.39600
-0.47100,-0.13306,0.07937,0.42737,-0.42737,-0.56334,-0.56334,12.49600
-0.47100,-0.13321,0.07939,0.42744,-0.42744,-0.56329,-0.56329,12.59600
-0.47100,-0.13335,0.07942,0.42752,-0.42752,-0.56323,-0.56323,12.69600
-0.47100,-0.13347,0.07945,0.42759,-0.42759,-0.56318,-0.56318,12.79600
-0.47100,-0.13358,0.07947,0.42766,-0.42766,-0.56312,-0.56312,12.89600
-0.47100,-0.13366,0.07950,0.42774,-0.42774,-0.56306,-0.56306,12.99600
-0.47100,-0.13372,0.07953,0.42781,-0.42781,-0.56301,-0.56301,13.09600
-0.47100,-0.13376,0.07956,0.42788,-0.42788,-0.56295,-0.56295,13.19600
-0.47100,-0.13377,0.07958,0.42796,-0.42796,-0.56290,-0.56290,13.29600
-0.47100,-0.13376,0.07961,0.42803,-0.42803,-0.56284,-0.56284,13.39600
-0.47100,-0.13373,0.07964,0.42810,-0.42810,-0.56279,-0.56279,13.49600
-0.47100,-0.13368,0.07966,0.42818,-0.42818,-0.56273,-0.56273,13.59600
-0.47100,-0.13360,0.07969,0.42825,-0.42825,-0.56267,-0.56267,13.69600
-0.47100,-0.13349,0.07972,0.42832,-0.42832,-0.56262,-0.56262,13.79600
-0.47100,-0.13336,0.07974,0.42840,-0.42840,-0.56256,-0.56256,13.89600
-0.47100,-0.13321,0.07977,0.42847,-0.42847,-0.56251,-0.56251,13.99600
-0.47100,-0.13303,0.07980,0.42854,-0.42854,-0.56245,-0.56245,14.09600
-0.47100,-0.13283,0.07982,0.42862,-0.42862,-0.56239,-0.56239,14.19600
-0.47100,-0.13261,0.07985,0.42869,-0.42869,-0.56234,-0.56234,14.29600
-0.47100,-0.13236,0.07987,0.42876,-0.42876,-0.56228,-0.56228,14.39600
-0.47100,-0.13210,0.07990,0.42884,-0.42884,-0.56223,-0.56223,14.49600
-0.47100,-0.13181,0.07993,0.42891,-0.42891,-0.56217,-0.56217,14.59600
-0.47100,-0.13150,0.07995,0.42898,-0.42898,-0.56211,-0.56211,14.69600
-0.47100,-0.13118,0.07998,0.42906,-0.42906,-0.56206,-0.56206,14.79600
-0.47100,-0.13084,0.08001,0.42913,-0.42913,-0.56200,-0.56200,14.89600
-0.47100,-0.13048,0.08003,0.42920,-0.42920,-0.56195,-0.56195,14.99600
-0.47100,-0.13011,0.08006,0.42928,-0.42928,-0.56189,-0.56189,15.09600
-0.47100,-0.12972,0.08009,0.42935,-0.42935,-0.56183,-0.56183,15.19600
-0.47100,-0.12933,0.08011,0.42942,-0.42942,-0.56178,-0.56178,15.29600
-0.47100,-0.12892,0.08014,0.42950,-0.42950,-0.56172,-0.56172,15.39600
-0.47100,-0.12851,0.08016,0.42957,-0.42957,-0.56167,-0.56167,15.49600
-0.47100,-0.12809,0.08019,0.42964,-0.42964,-0.56161,-0.56161,15.59600
-0.47100,-0.12767,0.08022,0.42972,-0.42972,-0.56155,-0.56155,15.69600
-0.47100,-0.12724,0.08024,0.42979,-0.42979,-0.56150,-0.56150,15.79600
-0.47100,-0.12681,0.08027,0.42986,-0.42986,-0.56144,-0.56144,15.89600
-0.47100,-0.12638,0.08029,0.42994,-0.42994,-0.56139,-0.56139,15.99600
-0.47100,-0.12596,0.08032,0.43001,-0.43001,-0.56133,-0.56133,16.09600
-0.47100,-0.12553,0.08035,0.43008,-0.43008,-0.56127,-0.56127,16.19600
-0.47100,-0.12512,0.08037,0.43016,-0.43016,-0.56122,-0.56122,16.29600
-0.47100,-0.12471,0.08040,0.43023,-0.43023,-0.56116,-0.56116,16.39600
-0.47100,-0.12431,0.08042,0.43030,-0.43030,-0.56110,-0.56110,16.49600
-0.47100,-0.12392,0.08045,0.43038,-0.43038,-0.56105,-0.56105,16.59600
-0.47100,-0.12355,0.08048,0.43045,-0.43045,-0.56099,-0.56099,16.69600
-0.47100,-0.12319,0.08050,0.43052,-0.43052,-0.56094,-0.56094,16.79600
-0.47100,-0.12284,0.08053,0.43060,-0.43060,-0.56088,-0.56088,16.89600
-0.47100,-0.12251,0.08055,0.43067,-0.43067,-0.56082,-0.56082,16.99600
-0.47100,-0.12220,0.08058,0.43074,-0.43074,-0.56077,-0.56077,17.09600
-0.47100,-0.12191,0.08061,0.43082,-0.43082,-0.56071,-0.56071,17.19600
-0.47100,-0.12163,0.08063,0.43089,-0.43089,-0.56065,-0.56065,17.29600
-0.47100,-0.12138,0.08066,0.43096,-0.43096,-0.56060,-0.56060,17.39600
-0.47100,-0.12115,0.08068,0.43104,-0.43104,-0.56054,-0.56054,17.49600
-0.47100,-0.12095,0.08071,0.43111,-0.43111,-0.56049,-0.56049,17.59600
-0.47100,-0.12076,0.08073,0.43118,-0.43118,-0.56043,-0.56043,17.69600
-0.47100,-0.12060,0.08076,0.43126,-0.43126,-0.56037,-0.56037,17.79600
-0.47100,-0.12046,0.08079,0.43133,-0.43133,-0.56032,-0.56032,17.89600
-0.47100,-0.12035,0.08081,0.43140,-0.43140,-0.56026,-0.56026,17.99600
-0.47100,-0.12026,0.08084,0.43148,-0.43148,-0.56020,-0.56020,18.09600
-0.47100,-0.12020,0.08086,0.43155,-0.43155,-0.56015,-0.56015,18.19600
-0.47100,-0.12015,0.08089,0.43162,-0.43162,-0.56009,-0.56009,18.29600
-0.47100,-0.12014,0.08091,0.43169,-0.43169,-0.56004,-0.56004,18.39600
-0.47100,-0.12014,0.08094,0.43177,-0.43177,-0.55998,-0.55998,18.49600
-0.47100,-0.12017,0.08096,0.43184,-0.43184,-0.55992,-0.55992,18.59600
-0.47100,-0.12022,0.08099,0.43191,-0.43191,-0.55987,-0.55987,18.69600
-0.47100,-0.12029,0.08101,0.43199,-0.43199,-0.55981,-0.55981,18.79600
-0.47100,-0.12038,0.08104,0.43206,-0.43206,-0.55975,-0.55975,18.89600
-0.47100,-0.12049,0.08107,0.43213,-0.43213,-0.55970,-0.55970,18.99600
-0.47100,-0.12062,0.08109,0.43221,-0.43221,-0.55964,-0.55964,19.09600
-0.47100,-0.12077,0.08112,0.43228,-0.43228,-0.55958,-0.55958,19.19600
-0.47100,-0.12093,0.08114,0.43235,-0.43235,-0.55953,-0.55953,19.29600
-0.47100,-0.12110,0.08117,0.43243,-0.43243,-0.55947,-0.55947,19.39600
-0.47100,-0.12129,0.08119,0.43250,-0.43250,-0.55941,-0.55941,19.49600
-0.47100,-0.12149,0.08122,0.43257,-0.43257,-0.55936,-0.55936,19.59600
-0.47100,-0.12170,0.08124,0.43264,-0.43264,-0.55930,-0.55930,19.69600
-0.47100,-0.12192,0.08127,0.43272,-0.43272,-0.55925,-0.55925,19.79600
-0.47100,-0.12214,0.08129,0.43279,-0.43279,-0.55919,-0.55919,19.89600
-0.47100,-0.12237,0.08132,0.43286,-0.43286,-0.55913,-0.55913,19.99600
-0.47100,-0.12260,0.08134,0.43294,-0.43294,-0.55908,-0.55908,20.09600
-0.47100,-0.12283,0.08137,0.43301,-0.43301,-0.55902,-0.55902,20.19600
-0.47100,-0.12306,0.08139,0.43308,-0.43308,-0.55896,-0.55896,20.29600
-0.47100,-0.12329,0.08142,0.43316,-0.43316,-0.55891,-0.55891,20.39600
-0.47100,-0.12351,0.08144,0.43323,-0.43323,-0.55885,-0.55885,20.49600
-0.47100,-0.12373,0.08147,0.43330,-0.43330,-0.55879,-0.55879,20.59600
-0.47100,-0.12394,0.08149,0.43337,-0.43337,-0.55874,-0.55874,20.69600
-0.47100,-0.12414,0.08152,0.43345,-0.43345,-0.55868,-0.55868,20.79600
-0.47100,-0.12433,0.08154,0.43352,-0.43352,-0.55862,-0.55862,20.89600
-0.47100,-0.12451,0.08157,0.43359,-0.43359,-0.55857,-0.55857,20.99600
-0.47100,-0.12468,0.08159,0.43367,-0.43367,-0.55851,-0.55851,21.09600
-0.47100,-0.12483,0.08162,0.43374,-0.43374,-0.55845,-0.55845,21.19600
-0.47100,-0.12496,0.08164,0.43381,-0.43381,-0.55840,-0.55840,21.29600
-0.47100,-0.12508,0.08167,0.43388,-0.43388,-0.55834,-0.55834,21.39600
-0.47100,-0.12518,0.08169,0.43396,-0.43396,-0.55828,-0.55828,21.49600
-0.47100,-0.12525,0.08171,0.43403,-0.43403,-0.55823,-0.55823,21.59600
-0.47100,-0.12531,0.08174,0.43410,-0.43410,-0.55817,-0.55817,21.69600
-0.47100,-0.12534,0.08176,0.43418,-0.43418,-0.55811,-0.55811,21.79600
-0.47100,-0.12536,0.08179,0.43425,-0.43425,-0.55806,-0.55806,21.89600
-0.47100,-0.12535,0.08181,0.43432,-0.43432,-0.55800,-0.55800,21.99600
-0.47100,-0.12532,0.08184,0.43439,-0.43439,-0.55794,-0.55794,22.09600
-0.47100,-0.12526,0.08186,0.43447,-0.43447,-0.55789,-0.55789,22.19600
-0.47100,-0.12518,0.08189,0.43454,-0.43454,-0.55783,-0.55783,22.29600
-0.47100,-0.12507,0.08191,0.43461,-0.43461,-0.55777,-0.55777,22.39600
-0.47100,-0.12495,0.08194,0.43469,-0.43469,-0.55772,-0.55772,22.49600
-0.47100,-0.12479,0.08196,0.43476,-0.43476,-0.55766,-0.55766,22.59600
-0.47100,-0.12462,0.08198,0.43483,-0.43483,-0.55760,-0.55760,22.69600
-0.47100,-0.12442,0.08201,0.43490,-0.43490,-0.55755,-0.55755,22.79600
-0.47100,-0.12420,0.08203,0.43498,-0.43498,-0.55749,-0.55749,22.89600
-0.47100,-0.12396,0.08206,0.43505,-0.43505,-0.55743,-0.55743,22.99600
-0.47100,-0.12370,0.08208,0.43512,-0.43512,-0.55738,-0.55738,23.09600
-0.47100,-0.12342,0.08211,0.43520,-0.43520,-0.55732,-0.55732,23.19600
-0.47100,-0.12311,0.08213,0.43527,-0.43527,-0.55726,-0.55726,23.29600
-0.47100,-0.12279,0.08215,0.43534,-0.43534,-0.55721,-0.55721,23.39600
-0.47100,-0.12246,0.08218,0.43541,-0.43541,-0.55715,-0.55715,23.49600
-0.47100,-0.12211,0.08220,0.43549,-0.43549,-0.55709,-0.55709,23.59600
-0.47100,-0.12174,0.08223,0.43556,-0.43556,-0.55704,-0.55704,23.69600
-0.47100,-0.12136,0.08225,0.43563,-0.43563,-0.55698,-0.55698,23.79600
-0.47100,-0.12097,0.08227,0.43570,-0.43570,-0.55692,-0.55692,23.89600
-0.47100,-0.12058,0.08230,0.43578,-0.43578,-0.55686,-0.55686,23.99600
-0.47100,-0.12017,0.08232,0.43585,-0.43585,-0.55681,-0.55681,24.09600
-0.47100,-0.11976,0.08235,0.43592,-0.43592,-0.55675,-0.55675,24.19600
-0.47100,-0.11934,0.08237,0.43600,-0.43600,-0.55669,-0.55669,24.29600
-0.47100,-0.11892,0.08239,0.43607,-0.43607,-0.55664,-0.55664,24.39600
-0.47100,-0.11850,0.08242,0.43614,-0.43614,-0.55658,-0.55658,24.49600
-0.47100,-0.11807,0.08244,0.43621,-0.43621,-0.55652,-0.55652,24.59600
-0.47100,-0.11766,0.08247,0.43629,-0.43629,-0.55647,-0.55647,24.69600
-0.47100,-0.11724,0.08249,0.43636,-0.43636,-0.55641,-0.55641,24.79600
-0.47100,-0.11683,0.08251,0.43643,-0.43643,-0.55635,-0.55635,24.89600
-0.47100,-0.11643,0.08254,0.43650,-0.43650,-0.55630,-0.55630,24.99600
-0.47100,-0.11604,0.08256,0.43658,-0.43658,-0.55624,-0.55624,25.09600
-0.47100,-0.11566,0.08259,0.43665,-0.43665,-0.55618,-0.55618,25.19600
-0.47100,-0.11529,0.08261,0.43672,-0.43672,-0.55612,-0.55612,25.29600
-0.47100,-0.11493,0.08263,0.43679,-0.43679,-0.55607,-0.55607,25.39600
-0.47100,-0.11459,0.08266,0.43687,-0.43687,-0.55601,-0.55601,25.49600
-0.47100,-0.11426,0.08268,0.43694,-0.43694,-0.55595,-0.55595,25.59600
-0.47100,-0.11395,0.08270,0.43701,-0.43701,-0.55590,-0.55590,25.69600
-0.47100,-0.11367,0.08273,0.43708,-0.43708,-0.55584,-0.55584,25.79600
-0.47100,-0.11340,0.08275,0.43716,-0.43716,-0.55578,-0.55578,25.89600
-0.47100,-0.11315,0.08277,0.43723,-0.43723,-0.55572,-0.55572,25.99600
-0.47100,-0.11292,0.08280,0.43730,-0.43730,-0.55567,-0.55567,26.09600
-0.47100,-0.11271,0.08282,0.43738,-0.43738,-0.55561,-0.55561,26.19600
-0.47100,-0.11253,0.08285,0.43745,-0.43745,-0.55555,-0.55555,26.29600
-0.47100,-0.11237,0.08287,0.43752,-0.43752,-0.55550,-0.55550,26.39600
-0.47100,-0.11223,0.08289,0.43759,-0.43759,-0.55544,-0.55544,26.49600
-0.47100,-0.11211,0.08292,0.43767,-0.43767,-0.55538,-0.55538,26.59600
-0.47100,-0.11202,0.08294,0.43774,-0.43774,-0.55532,-0.55532,26.69600
-0.47100,-0.11196,0.08296,0.43781,-0.43781,-0.55527,-0.55527,26.79600
-0.47100,-0.11191,0.08299,0.43788,-0.43788,-0.55521,-0.55521,26.89600
-0.47100,-0.11189,0.08301,0.43796,-0.43796,-0.55515,-0.55515,26.99600
-0.47100,-0.11189,0.08303,0.43803,-0.43803,-0.55510,-0.55510,27.09600
-0.47100,-0.11192,0.08306,0.43810,-0.43810,-0.55504,-0.55504,27.19600
-0.47100,-0.11196,0.08308,0.43817,-0.43817,-0.55498,-0.55498,27.29600
-0.47100,-0.11203,0.08310,0.43824,-0.43824,-0.55492,-0.55492,27.39600
-0.47100,-0.11212,0.08312,0.43832,-0.43832,-0.55487,-0.55487,27.49600
-0.47100,-0.11222,0.08315,0.43839,-0.43839,-0.55481,-0.55481,27.59600
-0.47100,-0.11234,0.08317,0.43846,-0.43846,-0.55475,-0.55475,27.69600
-0.47100,-0.11248,0.08319,0.43853,-0.43853,-0.55470,-0.55470,27.79600
-0.47100,-0.11264,0.08322,0.43861,-0.43861,-0.55464,-0.55464,27.89600
-0.47100,-0.11280,0.08324,0.43868,-0.43868,-0.55458,-0.55458,27.99600
-0.47100,-0.11298,0.08326,0.43875,-0.43875,-0.55452,-0.55452,28.09600
-0.47100,-0.11318,0.08329,0.43882,-0.43882,-0.55447,-0.55447,28.19600
-0.47100,-0.11338,0.08331,0.43890,-0.43890,-0.55441,-0.55441,28.29600
-0.47100,-0.11359,0.08333,0.43897,-0.43897,-0.55435,-0.55435,28.39600
-0.47100,-0.11380,0.08335,0.43904,-0.43904,-0.55429,-0.55429,28.49600
-0.47100,-0.11402,0.08338,0.43911,-0.43911,-0.55424,-0.55424,28.59600
-0.47100,-0.11424,0.08340,0.43919,-0.43919,-0.55418,-0.55418,28.69600
-0.47100,-0.11447,0.08342,0.43926,-0.43926,-0.55412,-0.55412,28.79600
-0.47100,-0.11469,0.08345,0.43933,-0.43933,-0.55407,-0.55407,28.89600
-0.47100,-0.11491,0.08347,0.43940,-0.43940,-0.55401,-0.55401,28.99600
-0.47100,-0.11513,0.08349,0.43948,-0.43948,-0.55395,-0.55395,29.09600
-0.47100,-0.11534,0.08351,0.43955,-0.43955,-0.55389,-0.55389,29.19600
-0.47100,-0.11554,0.08354,0.43962,-0.43962,-0.55384,-0.55384,29.29600
-0.47100,-0.11574,0.08356,0.43969,-0.43969,-0.55378,-0.55378,29.39600
-0.47100,-0.11592,0.08358,0.43976,-0.43976,-0.55372,-0.55372,29.49600
-0.47100,-0.11609,0.08361,0.43984,-0.43984,-0.55366,-0.55366,29.59600
-0.47100,-0.11625,0.08363,0.43991,-0.43991,-0.55361,-0.55361,29.69600
